5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,0,0,0,4,5,5,6,0,0,0,5,5,3,0,0,0,5,5,0,0,0,2,5
5,0,0,0,4,5,5,6,0,0,0,5,5,3,0,0,0,5,5,0,0,0,2,5
5,0,0,0,4,5,5,6,0,0,0,5,5,3,0,0,0,5,5,0,0,0,2,5
5,0,0,0,4,5,5,6,0,0,0,5,5,3,0,0,0,5,5,0,0,0,2,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7,7,7,7,7,7,7,7,3,3,3,3,3,3,3,3,3,3,7,7,7,7,7,7
7,7,7,7,7,7,7,7,3,3,3,3,3,3,3,3,3,3,7,7,7,7,7,7
7,7,7,7,7,7,7,7,3,3,3,3,3,3,3,3,3,3,7,7,7,7,7,7
7,7,7,7,7,7,7,7,3,3,3,3,3,3,3,3,3,3,7,7,6,6,6,6
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6
2,2,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6
2,2,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6
2,2,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6
2,2,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6
2,2,2,7,7,7,7,7,7,7,7,7,8,8,7,7,7,7,7,7,6,6,6,6
2,2,2,7,7,7,7,7,7,7,7,7,8,8,7,7,7,7,7,7,6,6,6,6
2,2,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6
2,2,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
2,2,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
2,2,2,7,7,7,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,7
2,2,2,7,7,7,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,7
2,2,2,7,7,7,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,7
