4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,2,5,5,5,2,4,4,4,4,4
8,8,8,8,8,4,4,4,4,4,4,4,2,5,5,5,2,2,2,2,2,2
8,9,9,9,8,4,4,4,4,4,4,4,2,5,5,5,2,2,3,3,3,2
8,9,9,9,8,4,4,4,4,4,4,4,2,2,2,2,2,2,3,3,3,2
8,9,9,9,8,4,4,4,4,4,4,4,4,4,4,4,4,2,3,3,3,2
8,8,8,8,8,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
8,8,8,8,8,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2
8,3,3,3,8,4,4,4,4,4,4,4,4,4,4,4,4,2,6,6,6,2
8,3,3,3,8,4,4,4,4,4,4,4,4,4,4,4,4,2,6,6,6,2
8,3,3,3,8,4,4,4,4,4,4,4,4,4,4,4,4,2,6,6,6,2
8,8,8,8,8,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
8,8,8,8,8,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2
8,1,1,1,8,4,4,4,4,4,4,4,4,4,4,4,4,2,1,1,1,2
8,1,1,1,8,8,8,8,8,8,4,4,4,4,4,4,4,2,1,1,1,2
8,1,1,1,8,8,6,6,6,8,4,4,4,4,4,4,4,2,1,1,1,2
8,8,8,8,8,8,6,6,6,8,4,4,4,4,4,4,4,2,2,2,2,2
4,4,4,4,4,8,6,6,6,8,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,8,8,8,8,8,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
