2,2,2,2,2,2,2,2,0,4,4,4,4,4,4,4,4
2,2,2,2,2,2,2,2,0,4,4,4,4,4,4,4,4
2,4,2,2,2,2,2,2,0,4,4,4,2,4,4,4,4
2,4,2,2,4,2,2,2,0,4,2,2,2,4,4,4,4
2,4,2,2,4,2,2,2,0,4,4,4,2,4,4,4,4
2,4,4,4,4,4,4,2,0,4,4,4,2,4,4,4,4
2,2,2,2,4,2,2,2,0,4,4,4,2,2,2,2,4
2,2,2,2,2,2,2,2,0,4,4,4,4,4,4,4,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,3,3,3,3,3,3,0,8,8,8,8,8,8,8,8
3,3,3,8,8,3,3,3,0,8,3,3,3,8,8,8,8
3,3,3,3,8,3,8,3,0,8,8,8,3,8,8,8,8
3,3,3,3,8,8,8,3,0,8,8,3,3,3,8,8,8
3,3,3,3,3,3,8,3,0,8,8,8,3,8,8,8,8
3,3,3,3,3,3,8,3,0,8,8,8,8,8,8,8,8
3,3,3,3,3,3,8,3,0,8,8,8,8,8,8,8,8
3,3,3,3,3,3,3,3,0,8,8,8,8,8,8,8,8
