1,1,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,2,2
1,1,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,2,2
1,1,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,2,2
1,1,5,5,5,5,4,5,5,5,5,5,4,4,5,5,5,5,9,5,5,5,5,5,2,2
1,1,5,5,5,8,8,8,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,2,2
1,1,5,5,8,8,9,8,5,9,5,5,4,4,5,5,5,5,5,5,5,5,5,5,2,2
1,1,5,5,5,5,5,8,5,9,5,5,4,4,5,5,5,5,5,5,5,5,5,5,2,2
1,1,5,5,5,8,8,8,5,5,5,5,4,4,5,5,5,1,5,1,5,5,5,5,2,2
1,1,5,5,5,2,5,2,5,5,5,5,4,4,5,5,5,8,5,8,5,5,5,5,2,2
1,1,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,8,8,8,8,8,5,5,2,2
1,1,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,8,9,9,8,5,5,5,2,2
1,1,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,4,5,5,5,2,2
1,1,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,2,2
