3,4,3,4,3,9,9,9,9,9,9,4,4,4,4,4
4,3,4,3,3,9,9,9,9,9,9,4,4,4,3,4
3,3,3,4,3,3,3,9,9,9,9,4,3,3,4,4
3,4,3,3,3,9,3,9,9,9,9,4,4,4,4,4
3,3,3,3,3,9,3,9,9,9,9,9,4,9,9,9
9,3,9,9,9,9,3,9,9,9,9,9,4,9,9,9
9,3,9,9,9,8,8,8,4,4,4,4,4,9,9,9
9,3,3,3,3,8,4,8,9,9,9,9,9,9,9,9
9,9,9,9,9,8,8,8,4,4,4,4,4,4,4,9
9,9,9,9,9,9,4,9,9,9,9,9,9,9,4,9
9,9,9,9,9,9,4,9,9,9,9,9,9,9,4,9
9,9,9,9,9,9,4,9,9,9,9,9,9,9,4,9
9,9,9,9,9,9,4,9,9,9,9,9,9,9,4,9
9,9,9,9,9,4,4,4,4,9,9,9,9,4,4,4
9,9,9,9,9,4,4,4,4,9,9,9,9,4,3,4
9,9,9,9,9,4,4,3,4,9,9,9,9,4,4,4
