0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,4,4,1,2,0,1
1,2,0,1,2,0,1,2,0,1,2,0,1,2,8,8,8,4,4,2,0,1,2
1,2,0,1,2,0,1,2,0,1,2,0,1,2,8,6,6,6,8,2,0,1,2
0,1,2,0,1,3,3,3,3,3,3,3,3,3,8,6,6,6,8,1,2,0,1
1,2,0,1,2,3,1,2,0,1,2,0,1,2,8,6,6,6,8,2,0,1,2
1,2,0,1,2,3,1,2,0,1,2,0,1,2,8,8,8,8,8,2,0,1,2
0,1,2,0,1,3,0,1,2,0,1,2,0,1,2,0,3,2,0,1,2,0,1
1,2,0,1,2,3,1,2,0,1,2,0,1,2,0,1,3,0,1,2,0,1,2
1,2,0,1,2,3,1,2,0,1,2,0,1,2,0,1,3,0,1,2,0,1,2
0,1,2,0,1,3,0,1,2,0,1,2,0,1,2,0,3,2,0,1,2,0,1
1,2,0,1,2,3,1,2,0,1,2,0,1,2,0,1,3,0,1,2,0,1,2
1,2,0,1,2,3,3,3,3,3,3,3,3,3,3,3,3,0,1,2,0,1,2
0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1
