0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
1,0,3,3,3,3,3,3,3,3,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,3,8,8,8,8,8,8,3,0,1,0,1,0,1,0,1,0,1,0,1,0
1,0,3,8,8,8,8,8,8,3,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,3,8,8,8,8,8,8,3,0,1,4,4,4,1,0,1,0,1,0,1,0
1,0,3,8,8,8,8,8,8,3,1,0,4,4,4,0,1,0,1,0,1,0,1
0,1,3,8,8,8,8,8,8,3,0,1,4,4,4,1,0,1,0,1,0,1,0
1,0,3,8,8,8,8,8,8,3,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,3,3,3,3,3,3,3,3,0,1,0,1,0,1,0,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
