0,0,0,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0
0,0,0,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0
0,0,0,8,8,6,6,6,6,6,8,8,0,0,0,0,0,0,0
0,0,0,8,8,6,1,1,1,6,8,8,0,0,0,0,0,0,0
0,0,0,8,8,6,6,6,6,6,8,8,0,0,0,0,0,0,0
0,0,0,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0
0,0,0,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0
0,8,1,1,1,1,1,1,1,1,1,1,8,0,0,0,0,0,0
0,8,1,4,4,4,4,4,4,4,4,1,8,0,0,0,0,0,0
0,8,1,4,2,2,2,2,2,2,4,1,8,0,0,0,0,0,0
0,8,1,4,2,2,2,2,2,2,4,1,8,0,0,0,0,0,0
0,8,1,4,4,4,4,4,4,4,4,1,8,0,0,0,0,0,0
0,8,1,1,1,1,1,1,1,1,1,1,8,0,0,0,0,0,0
0,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0
