0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5,0,0,0,2,0,0,0,4,0,0,0,0,0
0,5,0,5,5,0,2,0,4,4,0,4,0,0,0,0
0,0,5,5,5,5,2,4,4,4,4,0,0,0,0,0
0,0,0,0,5,5,2,4,4,0,0,0,0,0,0,0
0,0,0,5,5,5,2,4,4,4,0,0,0,0,0,0
0,0,0,0,0,5,2,4,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4,2,7,0,0,0,0,0,0,0,0,0
0,0,4,4,4,2,7,7,7,0,0,0,0,0,0,0
4,4,4,0,4,2,7,0,7,7,7,0,0,0,0,0
0,4,4,4,0,2,0,7,7,7,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
