8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
5,1,1,1,1,1,8,1,1,1,1,1,8,1,1,1,1,1,8
5,1,8,2,8,1,8,1,6,6,6,1,8,1,7,7,7,1,8
5,1,2,2,2,1,8,1,6,6,6,1,8,1,7,7,7,1,8
5,1,8,2,8,1,8,1,6,6,6,1,8,1,7,7,7,1,8
5,1,1,1,1,1,8,1,1,1,1,1,8,1,1,1,1,1,8
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
9,1,1,1,1,1,8,1,1,1,1,1,8,1,1,1,1,1,8
9,1,3,3,3,1,8,1,2,8,8,1,8,1,2,2,2,1,8
9,1,3,3,3,1,8,1,2,2,8,1,8,1,8,2,8,1,8
9,1,3,3,3,1,8,1,8,2,2,1,8,1,8,8,8,1,8
9,1,1,1,1,1,8,1,1,1,1,1,8,1,1,1,1,1,8
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
0,1,1,1,1,1,8,1,1,1,1,1,8,1,1,1,1,1,8
0,1,8,2,8,1,8,1,2,8,8,1,8,1,2,2,2,1,8
0,1,2,2,2,1,8,1,2,2,8,1,8,1,8,2,8,1,8
0,1,8,2,8,1,8,1,8,2,2,1,8,1,8,8,8,1,8
0,1,1,1,1,1,8,1,1,1,1,1,8,1,1,1,1,1,8
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
