8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
1,1,1,8,8,8,8,8,8,8,8,8,8,8,8,8,2,9,2,8,8,8
1,3,1,2,8,2,8,3,8,3,8,3,8,3,8,3,9,2,9,8,8,8
1,1,1,8,8,8,8,8,8,8,8,8,8,8,8,8,2,9,2,8,8,8
8,8,8,8,8,8,8,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
8,8,8,4,8,4,8,3,8,3,8,3,8,3,8,3,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
8,8,8,4,8,8,8,5,8,8,8,8,8,8,8,3,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
8,8,8,4,8,8,8,5,8,8,8,8,8,8,8,3,8,8,8,8,8,8
8,8,9,9,9,8,5,5,5,8,8,8,8,8,8,8,8,8,8,8,8,8
8,8,9,4,9,8,5,2,5,8,8,8,8,8,8,3,8,8,8,8,8,8
8,8,9,9,9,8,5,5,5,8,8,8,8,8,6,6,6,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,7,6,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
