7,7,7,7,7,7,7,7,2,8,8,8,8,8,8,8,8,8,8,8
7,8,8,8,8,8,8,7,2,8,4,4,4,4,4,4,4,4,4,8
7,8,7,7,7,7,8,7,2,8,4,8,8,8,8,8,8,8,4,8
7,8,7,8,8,7,8,7,2,8,4,8,4,4,4,4,4,8,4,8
7,8,7,8,8,7,8,7,2,8,4,8,4,8,8,8,4,8,4,8
7,8,7,8,8,7,8,7,2,8,4,8,4,4,4,4,4,8,4,8
7,8,7,8,8,7,8,7,2,8,4,8,8,8,8,8,8,8,4,8
7,8,7,8,8,7,8,7,2,8,4,4,4,4,4,4,4,4,4,8
7,8,7,8,8,7,8,7,2,8,8,8,8,8,8,8,8,8,4,8
7,8,7,8,8,7,8,7,2,2,2,2,2,2,2,2,2,8,4,8
7,8,7,8,8,7,8,7,2,3,3,3,3,3,3,3,2,8,4,8
7,8,7,8,8,7,8,7,2,3,3,3,3,3,3,3,2,8,4,8
7,8,7,8,8,7,8,7,2,3,3,3,3,3,3,3,2,8,4,8
7,8,7,8,8,7,8,7,2,3,3,3,3,3,3,3,2,8,4,8
7,8,7,8,8,7,8,7,2,3,3,3,3,3,3,3,2,8,4,8
7,8,7,8,8,7,8,7,2,2,2,2,2,2,2,2,2,8,4,8
7,8,7,8,8,7,8,7,2,8,8,8,8,8,8,8,8,8,4,8
7,8,7,7,7,7,8,7,2,8,4,4,4,4,4,4,4,4,4,8
7,8,8,8,8,8,8,7,2,8,4,4,4,4,4,4,4,4,4,8
7,7,7,7,7,7,7,7,2,8,8,8,8,8,8,8,8,8,8,8
