9,6,4,8,8,8,6,9,6,8,8,8,4,6,9,8,8,8
6,4,6,8,8,8,6,4,6,8,8,8,6,4,6,8,8,8
4,6,6,8,8,8,4,6,4,8,8,8,6,6,4,8,8,8
8,8,8,6,6,4,4,6,4,4,6,6,8,8,8,8,8,8
8,8,8,6,4,6,6,4,6,6,4,6,8,8,8,8,8,8
8,8,8,4,6,9,6,9,6,9,6,4,8,8,8,8,8,8
6,6,4,4,6,6,9,9,9,6,6,4,4,6,6,8,8,8
9,4,6,6,4,9,9,6,9,9,4,6,6,4,9,8,8,8
6,6,4,4,6,6,9,9,9,6,6,4,4,6,6,8,8,8
8,8,8,4,6,9,6,9,6,9,6,4,8,8,8,8,8,8
8,8,8,6,4,6,6,4,6,6,4,6,8,8,8,8,8,8
8,8,8,6,6,4,4,6,4,4,6,6,8,8,8,8,8,8
4,6,6,8,8,8,4,6,4,8,8,8,6,6,4,8,8,8
6,4,6,8,8,8,6,4,6,8,8,8,6,4,6,8,8,8
9,6,4,8,8,8,6,9,6,8,8,8,4,6,9,8,8,8
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
