0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0
0,0,0,3,0,0,0,6,0,0,0,0,0,5,0,0,0,0
0,0,3,0,3,0,0,6,0,0,0,0,0,5,0,0,0,0
0,0,0,3,0,0,0,6,0,0,0,0,0,5,0,0,0,0
0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0
0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0
0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0
5,5,5,0,5,5,5,6,5,5,5,5,3,5,3,5,5,5
0,0,0,0,0,0,0,6,0,0,0,0,0,3,4,0,0,0
0,0,0,0,0,0,0,6,0,0,0,0,0,5,4,0,0,0
0,0,0,0,0,0,0,3,0,0,0,0,0,5,4,0,0,0
6,6,6,0,6,6,3,6,3,6,6,6,6,5,4,6,6,6
0,0,0,0,0,0,0,3,0,0,0,0,0,5,4,0,0,0
0,0,0,0,0,0,0,6,0,0,0,0,0,5,4,0,0,0
0,0,0,0,0,0,0,6,0,0,0,0,0,5,3,0,0,0
4,4,4,0,4,4,4,6,4,4,4,4,4,3,4,3,4,4
0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0
0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0
