4,4,4,1,4,6,4,1,4,4,4,1,4,4,4,1,4,6,4
4,4,4,1,4,4,6,1,4,4,4,1,6,4,4,1,4,4,6
4,4,8,8,8,4,8,8,8,4,8,8,8,6,8,8,8,4,4
1,1,8,9,9,1,9,9,8,1,8,8,8,1,8,8,8,1,1
4,4,8,9,8,4,8,9,8,6,8,8,8,4,8,8,8,4,4
6,4,4,1,4,4,4,1,4,4,6,1,4,4,4,1,6,4,4
4,6,8,8,8,4,8,9,8,4,8,8,8,4,8,8,8,6,4
1,1,8,8,8,1,8,9,9,1,9,9,8,1,8,8,8,1,1
4,4,8,8,8,4,8,8,8,4,8,9,8,6,8,8,8,4,4
4,4,4,1,6,4,4,1,4,4,4,1,4,4,6,1,4,4,4
4,4,8,8,8,6,8,8,8,4,8,9,8,4,8,8,8,4,4
1,1,8,8,8,1,8,8,8,1,8,9,8,1,8,8,8,1,1
4,6,8,8,8,4,8,8,8,4,8,9,8,4,8,8,8,6,4
4,4,6,1,4,4,4,1,6,4,4,1,4,4,4,1,4,4,6
4,4,8,8,8,4,8,8,8,6,8,9,8,4,8,8,8,4,4
1,1,8,8,8,1,8,8,8,1,8,9,9,1,9,9,8,1,1
4,4,8,8,8,6,8,8,8,4,8,8,8,4,8,8,8,4,4
6,4,4,1,4,4,6,1,4,4,4,1,6,4,4,1,4,4,4
4,6,4,1,4,4,4,1,4,4,4,1,4,6,4,1,4,4,4
