9,9,9,9,9,9,9,9,9,9,9,9,9,9
9,0,0,0,0,0,0,0,0,0,9,9,9,9
9,0,0,0,7,7,7,7,7,7,7,7,7,9
9,0,4,4,7,7,7,7,7,7,7,7,7,9
9,0,4,4,4,4,0,0,0,0,9,9,9,9
9,0,4,4,4,4,1,1,1,1,1,1,1,9
9,0,4,4,4,4,1,1,1,1,1,1,1,9
9,0,0,0,1,1,1,1,1,1,1,1,1,9
9,0,0,0,1,1,1,1,1,1,1,1,1,9
9,0,0,0,1,1,1,1,1,1,1,1,1,9
9,0,0,0,0,0,0,0,0,0,9,9,9,9
9,0,0,0,0,0,0,0,0,0,9,9,9,9
9,0,0,0,6,6,6,6,6,6,6,6,9,9
9,0,0,0,6,6,6,6,6,6,6,6,9,9
9,0,0,0,6,6,6,6,6,6,6,6,9,9
9,9,9,9,6,6,6,6,6,6,6,6,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9
