7,7,7,7,7,7,7,7,4,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,4,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,4,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,4,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,4,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,4,7,7,7,7,7,7,7,7
7,7,7,7,7,7,5,5,4,7,7,7,7,7,7,7,7
7,7,7,7,5,5,9,9,4,7,7,7,7,7,7,7,7
8,7,5,5,9,9,1,1,8,7,7,7,7,7,7,7,8
7,7,5,9,1,1,1,1,4,7,7,7,7,7,7,7,7
7,7,5,9,1,1,1,1,4,7,7,7,7,7,7,7,7
7,7,5,9,6,6,6,6,4,7,7,7,7,7,7,7,7
7,7,5,9,6,6,6,6,4,7,7,7,7,7,7,7,7
7,7,5,5,9,9,6,6,4,7,7,7,7,7,7,7,7
7,7,7,7,5,5,9,9,4,7,7,7,7,7,7,7,7
7,7,7,7,7,7,5,5,4,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,4,7,7,7,7,7,7,7,7
